"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2020","97.295","97.380","97.460","97.150","12.49K","0.00%"
"Jan 21, 2020","97.294","97.385","97.420","97.150","11.01K","-0.07%"
"Jan 20, 2020","97.359","97.400","97.485","97.335","4.74K","0.00%"
"Jan 17, 2020","97.359","97.070","97.410","97.010","12.42K","0.31%"
"Jan 16, 2020","97.062","96.935","97.115","96.815","11.83K","0.11%"
"Jan 15, 2020","96.960","97.095","97.180","96.885","10.98K","-0.14%"
"Jan 14, 2020","97.094","97.090","97.305","97.045","8.81K","0.04%"
"Jan 13, 2020","97.060","97.100","97.245","97.020","8.53K","-0.02%"
"Jan 10, 2020","97.078","97.145","97.300","97.005","10.77K","-0.09%"
"Jan 09, 2020","97.162","96.985","97.275","96.955","11.37K","0.17%"
"Jan 08, 2020","96.996","96.560","97.040","96.525","13.73K","0.30%"
"Jan 07, 2020","96.702","96.370","96.795","96.310","11.61K","0.37%"
"Jan 06, 2020","96.350","96.565","96.585","96.230","10.96K","-0.18%"
"Jan 03, 2020","96.521","96.440","96.795","96.395","12.64K","-0.00%"
"Jan 02, 2020","96.525","96.140","96.560","96.100","17.44K","0.49%"
