"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2012","80.330","80.540","80.570","80.270","19.74K","-0.09%"
"Dec 07, 2012","80.402","80.270","80.975","80.225","32.25K","0.19%"
"Dec 06, 2012","80.253","79.865","80.320","79.725","25.64K","0.61%"
"Dec 05, 2012","79.764","79.620","79.845","79.565","17.87K","0.16%"
"Dec 04, 2012","79.634","79.885","79.920","79.590","21.33K","-0.30%"
"Dec 03, 2012","79.872","80.195","80.215","79.780","23.56K","-0.36%"
"Nov 30, 2012","80.163","80.195","80.340","80.030","15.93K","-0.06%"
"Nov 29, 2012","80.209","80.320","80.365","80.025","19.82K","-0.18%"
"Nov 28, 2012","80.354","80.390","80.610","80.275","15.93K","-0.09%"
"Nov 27, 2012","80.430","80.120","80.505","80.070","18.60K","0.20%"
"Nov 26, 2012","80.266","80.230","80.340","80.180","13.15K","0.04%"
"Nov 23, 2012","80.236","80.755","80.760","80.155","20.54K","-0.90%"
"Nov 22, 2012","80.966","80.840","80.925","80.645","15.72K","0.00%"
"Nov 21, 2012","80.966","80.980","81.300","80.945","4.95K","-0.04%"
"Nov 20, 2012","81.000","81.025","81.075","80.845","13.52K","0.10%"
"Nov 19, 2012","80.922","81.250","81.280","80.835","17.49K","-0.48%"
"Nov 16, 2012","81.310","81.095","81.515","81.080","28.85K","0.21%"
"Nov 15, 2012","81.138","81.205","81.250","80.975","24.28K","0.05%"
"Nov 14, 2012","81.100","81.150","81.215","80.940","23.31K","-0.05%"
"Nov 13, 2012","81.140","81.190","81.320","81.035","20.69K","0.04%"
"Nov 12, 2012","81.106","81.105","81.170","80.985","10.51K","0.01%"
"Nov 09, 2012","81.098","80.950","81.175","80.685","23.74K","0.26%"
"Nov 08, 2012","80.886","80.940","81.110","80.825","20.68K","0.02%"
"Nov 07, 2012","80.867","80.785","81.025","80.365","34.74K","0.19%"
"Nov 06, 2012","80.715","80.800","80.920","80.650","24.33K","-0.16%"
"Nov 05, 2012","80.843","80.710","80.925","80.590","18.16K","0.20%"
"Nov 02, 2012","80.683","80.115","80.740","80.095","28.23K","0.68%"
"Nov 01, 2012","80.136","79.990","80.190","79.925","18.56K","0.19%"
"Oct 31, 2012","79.987","80.005","80.055","79.720","16.08K","0.00%"
